nombre,tags,paso_actual,propuesta_paso_a_paso
A. J.,"citrico, clasico","1) Agregar Applejack y Jugo de pomelo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Applejack y Jugo de pomelo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
A1,"citrico, clasico, gin","1) Agregar Gin, Grand Marnier, Jugo de limon y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Gin, Grand Marnier, Jugo de limon y Granadina a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
ABC,clasico,"1) Agregar Amaretto, Baileys crema irlandesa y Cognac al vaso o al recipiente de mezcla.
2) Enfriar si corresponde.
3) Servir en vaso de shot.","1) Agregar Amaretto, Baileys crema irlandesa y Cognac a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso de shot"
Abilene,"citrico, clasico","1) Agregar Ron oscuro, Nectar de durazno y Jugo de naranja a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso highball.","1) Agregar Ron oscuro, Nectar de durazno y Jugo de naranja a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso highball"
Acapulco,"citrico, clasico, cremoso","1) Agregar Ron claro, Triple sec, Jugo de lima, Azucar y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en vaso old fashioned.
4) Decorar con Menta.","1) Agregar Ron claro, Triple sec, Jugo de lima, Azucar, Clara de huevo y Menta a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en vaso old fashioned"
Ace,"clasico, cremoso, gin","1) Agregar Gin, Granadina, Crema espesa, Leche y Clara de huevo a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa martini.","1) Agregar Gin, Granadina, Crema espesa, Leche y Clara de huevo a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa martini"
ACID,clasico,"1) Agregar Ron 151 grados y Wild Turkey a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en vaso de shot bien frio.","1) Agregar Ron 151 grados y Wild Turkey a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en vaso de shot"
Adam,"citrico, clasico","1) Agregar Ron oscuro, Jugo de limon y Granadina a una coctelera.
2) Agregar hielo a gusto y agitar hasta enfriar bien.
3) Colar y servir en copa de coctel.","1) Agregar Ron oscuro, Jugo de limon y Granadina a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Addington,"clasico, vino","1) Llenar copa de coctel con hielo.
2) Agregar Vermut dulce y Vermut seco.
3) Completar con Agua con gas y mezclar suavemente.","1) Agregar Vermut dulce, Vermut seco y Agua con gas a una coctelera
2) Agregar hielo a gusto y agitar
3) Colar y servir en copa de coctel"
Addison,"clasico, gin","1) Agregar Gin y Vermut a un vaso mezclador.
2) Agregar hielo a gusto y revolver hasta enfriar bien.
3) Colar y servir en copa martini bien frio.","1) Agregar Gin y Vermut a un vaso mezclador
2) Agregar hielo a gusto y revolver hasta enfriar bien
3) Colar y servir en copa martini"
